Zona,ObjectId,et_x,et_y,et_order,ZoneId,zone_name
R,15,25.277800,54.691320,31,29,Raudonoji 8-22h
R,15,25.277500,54.691330,30,29,Raudonoji 8-22h
R,15,25.277190,54.691360,29,29,Raudonoji 8-22h
R,15,25.276980,54.691370,28,29,Raudonoji 8-22h
R,15,25.276840,54.691370,27,29,Raudonoji 8-22h
R,15,25.276770,54.691380,26,29,Raudonoji 8-22h
R,15,25.276540,54.691390,25,29,Raudonoji 8-22h
R,15,25.279680,54.691120,42,29,Raudonoji 8-22h
R,15,25.292260,54.688920,104,29,Raudonoji 8-22h
R,15,25.279680,54.691120,43,29,Raudonoji 8-22h
R,15,25.280070,54.691110,45,29,Raudonoji 8-22h
R,15,25.282440,54.690940,62,29,Raudonoji 8-22h
R,15,25.282400,54.690950,61,29,Raudonoji 8-22h
R,15,25.282400,54.690950,60,29,Raudonoji 8-22h
R,15,25.282170,54.690960,59,29,Raudonoji 8-22h
R,15,25.281990,54.690980,58,29,Raudonoji 8-22h
R,15,25.281770,54.691000,57,29,Raudonoji 8-22h
R,15,25.281420,54.691020,56,29,Raudonoji 8-22h
R,15,25.281350,54.691020,55,29,Raudonoji 8-22h
R,15,25.281270,54.691030,54,29,Raudonoji 8-22h
R,15,25.281050,54.691040,53,29,Raudonoji 8-22h
R,15,25.281050,54.691040,52,29,Raudonoji 8-22h
R,15,25.281050,54.691040,51,29,Raudonoji 8-22h
R,15,25.280700,54.691050,50,29,Raudonoji 8-22h
R,15,25.280490,54.691070,49,29,Raudonoji 8-22h
R,15,25.280460,54.691070,48,29,Raudonoji 8-22h
R,15,25.280400,54.691070,47,29,Raudonoji 8-22h
R,15,25.280080,54.691110,46,29,Raudonoji 8-22h
R,15,25.279890,54.691110,44,29,Raudonoji 8-22h
R,15,25.292270,54.688910,105,29,Raudonoji 8-22h
R,15,25.292280,54.688880,106,29,Raudonoji 8-22h
R,15,25.292330,54.688860,107,29,Raudonoji 8-22h
R,15,25.295900,54.685360,166,29,Raudonoji 8-22h
R,15,25.295900,54.685370,165,29,Raudonoji 8-22h
R,15,25.295900,54.685380,164,29,Raudonoji 8-22h
R,15,25.295900,54.685390,163,29,Raudonoji 8-22h
R,15,25.295890,54.685460,162,29,Raudonoji 8-22h
R,15,25.295870,54.685510,161,29,Raudonoji 8-22h
R,15,25.295840,54.685620,160,29,Raudonoji 8-22h
R,15,25.295780,54.685720,159,29,Raudonoji 8-22h
R,15,25.295650,54.685880,158,29,Raudonoji 8-22h
R,15,25.295580,54.685960,157,29,Raudonoji 8-22h
R,15,25.295580,54.685960,156,29,Raudonoji 8-22h
R,15,25.295550,54.686010,155,29,Raudonoji 8-22h
R,15,25.295410,54.686110,154,29,Raudonoji 8-22h
R,15,25.295330,54.686190,153,29,Raudonoji 8-22h
R,15,25.295310,54.686210,152,29,Raudonoji 8-22h
R,15,25.295270,54.686260,151,29,Raudonoji 8-22h
R,15,25.295230,54.686290,150,29,Raudonoji 8-22h
R,15,25.295900,54.685350,167,29,Raudonoji 8-22h
R,15,25.295210,54.686320,149,29,Raudonoji 8-22h
R,15,25.295910,54.685290,168,29,Raudonoji 8-22h
R,15,25.295920,54.685150,170,29,Raudonoji 8-22h
R,15,25.297430,54.684570,187,29,Raudonoji 8-22h
R,15,25.297290,54.684610,186,29,Raudonoji 8-22h
R,15,25.297190,54.684640,185,29,Raudonoji 8-22h
R,15,25.297150,54.684660,184,29,Raudonoji 8-22h
R,15,25.296960,54.684700,183,29,Raudonoji 8-22h
R,15,25.296810,54.684740,182,29,Raudonoji 8-22h
R,15,25.296690,54.684780,181,29,Raudonoji 8-22h
R,15,25.296580,54.684800,180,29,Raudonoji 8-22h
R,15,25.296540,54.684800,179,29,Raudonoji 8-22h
